2020-10-18 14:58:20.4090 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Adding new advertisement for employer with id = 4
2020-10-18 16:04:08.8210 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Adding new advertisement for employer with id = 4
2020-10-18 16:27:25.3695 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:30:42.9231 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:30:56.5134 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:32:15.6276 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:33:40.0473 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:33:45.7067 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 9
2020-10-18 16:34:28.7623 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 9
2020-10-18 16:34:36.1181 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:38:49.2492 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:39:08.2145 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 1
2020-10-18 16:39:41.9113 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:40:10.4106 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:40:59.7126 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 16:41:11.9178 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 9
2020-10-18 18:24:40.4620 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 18:26:06.5300 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Getting advertisement with id = 8
2020-10-18 18:33:36.9755 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Deleting advertisement with id = 8
2020-10-18 18:35:27.8390 | INFO | IndustrialStudentPositionHunters.Controllers.AdvertisementsController | Deleting advertisement with id = 9
